seed,lambda,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,changed_soft_area,soft_lock_area,disruption_rate
737579,0.25,Optimal,True,,18.94193329999689,11342113.0,9367886.0,10193436.0,9859538.0,0.8692858200231297,0.3,101.2,0.0029644268774703555
737579,0.5,Optimal,True,,18.717243699997198,11342113.0,9367886.0,10193436.0,9859538.0,0.8692858200231297,0.3,101.2,0.0029644268774703555
737579,1.0,Optimal,True,,18.97771219999413,11342113.0,9367886.0,10181324.0,9847426.0,0.8682179414012187,0.1,101.2,0.0009881422924901185
750647,0.0,Optimal,True,,13.90973230000236,15586202.0,12797649.0,14613493.0,14335257.0,0.919740229210426,5.3,125.3,0.04229848363926576
750647,0.05,Optimal,True,,13.769938199984608,15586202.0,12797649.0,14603372.0,14341497.0,0.9201405833185018,2.9,125.3,0.02314445331205108
750647,0.1,Optimal,True,,13.89561240002513,15586202.0,12797649.0,14602621.0,14340747.0,0.920092463834358,2.8,125.3,0.0223463687150838
750647,0.25,Optimal,True,,13.770191899995552,15586202.0,12797649.0,14562771.0,14300897.0,0.9175357152435212,1.1,125.3,0.008778930566640065
750647,0.5,Optimal,True,,13.89220919998479,15586202.0,12797649.0,14562771.0,14300897.0,0.9175357152435212,1.1,125.3,0.008778930566640065
750647,1.0,Optimal,True,,13.720644600020023,15586202.0,12797649.0,14459368.0,14269384.0,0.915513862838426,0.0,125.3,0.0
80120,0.0,Optimal,True,,12.6810484000016,12493200.0,10522767.0,11673268.0,11502553.0,0.9207051035763455,7.4,102.0,0.07254901960784314
80120,0.05,Optimal,True,,12.463165199995274,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,2.3,102.0,0.022549019607843137
80120,0.1,Optimal,True,,18.432977199991,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,2.3,102.0,0.022549019607843137
80120,0.25,Optimal,True,,35.80939379998017,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,2.3,102.0,0.022549019607843137
80120,0.5,Optimal,True,,35.792179799987935,12493200.0,10522767.0,11656865.0,11486150.0,0.9193921493292351,2.3,102.0,0.022549019607843137
80120,1.0,Optimal,True,,35.92108530001133,12493200.0,10522767.0,11428838.0,11292591.0,0.9038990010565747,0.0,102.0,0.0
803466,0.0,Optimal,True,,15.29619009999442,15661322.0,12318682.0,13856382.0,13816468.0,0.882203175440745,2.4,113.9,0.021071115013169446
803466,0.05,Optimal,True,,15.627511700004106,15661322.0,12318682.0,13853897.0,13812434.0,0.8819455982068436,1.2,113.9,0.010535557506584723
803466,0.1,Optimal,True,,15.302301600022474,15661322.0,12318682.0,13848543.0,13807080.0,0.8816037369003715,1.1,113.9,0.009657594381035996
803466,0.25,Optimal,True,,15.018130999989808,15661322.0,12318682.0,13826804.0,13785341.0,0.8802156676173314,0.2,113.9,0.001755926251097454
803466,0.5,Optimal,True,,15.127700899989577,15661322.0,12318682.0,13812348.0,13770885.0,0.8792926293195428,0.2,113.9,0.001755926251097454
803466,1.0,Optimal,True,,14.950369999976829,15661322.0,12318682.0,13789184.0,13747721.0,0.8778135715490685,0.0,113.9,0.0
870215,0.0,Optimal,True,,13.635848000005353,15214456.0,12559908.0,14054663.0,13963967.0,0.9178091546618558,7.9,115.4,0.0684575389948007
870215,0.05,Optimal,True,,13.324357799981954,15214456.0,12559908.0,14036264.0,13952455.0,0.9170525058536434,2.3,115.4,0.01993067590987868
870215,0.1,Optimal,True,,13.82304839999415,15214456.0,12559908.0,14036264.0,13952455.0,0.9170525058536434,2.3,115.4,0.01993067590987868
870215,0.25,Optimal,True,,13.402729099994758,15214456.0,12559908.0,13987329.0,13903520.0,0.9138361568760658,0.1,115.4,0.0008665511265164644
870215,0.5,Optimal,True,,13.61219399998663,15214456.0,12559908.0,13987329.0,13903520.0,0.9138361568760658,0.1,115.4,0.0008665511265164644
870215,1.0,Optimal,True,,14.13543120000395,15214456.0,12559908.0,13979733.0,13895924.0,0.9133368948584162,0.0,115.4,0.0
885219,0.0,Optimal,True,,14.40883489997941,16331308.0,11927901.0,14110592.0,13940841.0,0.8536267272652013,13.0,129.6,0.10030864197530864
885219,0.05,Optimal,True,,14.309150699991733,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,8.4,129.6,0.06481481481481483
885219,0.1,Optimal,True,,14.597017799998866,16331308.0,11927901.0,14102694.0,13932943.0,0.8531431162770305,8.4,129.6,0.06481481481481483
885219,0.25,Optimal,True,,14.458573000010801,16331308.0,11927901.0,13948589.0,13802943.0,0.8451829455423902,1.2,129.6,0.009259259259259259
885219,0.5,Optimal,True,,14.107291199994506,16331308.0,11927901.0,13900719.0,13774291.0,0.8434285239124754,0.0,129.6,0.0
885219,1.0,Optimal,True,,14.559189599996898,16331308.0,11927901.0,13900719.0,13774291.0,0.8434285239124754,0.0,129.6,0.0
908270,0.0,Optimal,True,,13.541703099996084,13124941.0,10847412.0,11612452.0,11430039.0,0.8708640290268733,9.0,95.2,0.09453781512605042
